"GenBank_ID","Country","State","City","Serotype","Date","Decimal_Date","Sequence_name"
"HM466968.1","China","Guangzhou","NA","Dengue_3","2009-06-15","2009.45205479452","HM466968.1|China|Guangzhou|NA|Dengue_3|2009-06-15|2009.45205479452"
"HM631854.1","Cambodia","KCH","NA","Dengue_3","2008-06-15","2008.45205479452","HM631854.1|Cambodia|KCH|NA|Dengue_3|2008-06-15|2008.45205479452"
"HM641025.1","Philippines","NA","NA","Dengue_3","2008-06-15","2008.45205479452","HM641025.1|Philippines|NA|NA|Dengue_3|2008-06-15|2008.45205479452"
"HM641026.1","Philippines","NA","NA","Dengue_3","2008-06-15","2008.45205479452","HM641026.1|Philippines|NA|NA|Dengue_3|2008-06-15|2008.45205479452"
"HM641027.1","Philippines","NA","NA","Dengue_3","2008-06-15","2008.45205479452","HM641027.1|Philippines|NA|NA|Dengue_3|2008-06-15|2008.45205479452"
"HM641028.1","Philippines","NA","NA","Dengue_3","2009-06-15","2009.45205479452","HM641028.1|Philippines|NA|NA|Dengue_3|2009-06-15|2009.45205479452"
"HM641029.1","Philippines","NA","NA","Dengue_3","2009-06-15","2009.45205479452","HM641029.1|Philippines|NA|NA|Dengue_3|2009-06-15|2009.45205479452"
"HM641030.1","Philippines","NA","NA","Dengue_3","2009-06-15","2009.45205479452","HM641030.1|Philippines|NA|NA|Dengue_3|2009-06-15|2009.45205479452"
"HM641031.1","Philippines","NA","NA","Dengue_3","2009-06-15","2009.45205479452","HM641031.1|Philippines|NA|NA|Dengue_3|2009-06-15|2009.45205479452"
"HM641032.1","Philippines","NA","NA","Dengue_3","2009-06-15","2009.45205479452","HM641032.1|Philippines|NA|NA|Dengue_3|2009-06-15|2009.45205479452"
"HM641033.1","Philippines","NA","NA","Dengue_3","2009-06-15","2009.45205479452","HM641033.1|Philippines|NA|NA|Dengue_3|2009-06-15|2009.45205479452"
"HM641034.1","Philippines","NA","NA","Dengue_3","2009-06-15","2009.45205479452","HM641034.1|Philippines|NA|NA|Dengue_3|2009-06-15|2009.45205479452"
"HM641035.1","Philippines","NA","NA","Dengue_3","2009-06-15","2009.45205479452","HM641035.1|Philippines|NA|NA|Dengue_3|2009-06-15|2009.45205479452"
"HM641036.1","Philippines","NA","NA","Dengue_3","2010-06-15","2010.45205479452","HM641036.1|Philippines|NA|NA|Dengue_3|2010-06-15|2010.45205479452"
"HM641037.1","Philippines","NA","NA","Dengue_3","2010-06-15","2010.45205479452","HM641037.1|Philippines|NA|NA|Dengue_3|2010-06-15|2010.45205479452"
"HM641038.1","Philippines","NA","NA","Dengue_3","2010-06-15","2010.45205479452","HM641038.1|Philippines|NA|NA|Dengue_3|2010-06-15|2010.45205479452"
"HQ141582.1","Viet_Nam","NA","NA","Dengue_3","2010-06-15","2010.45205479452","HQ141582.1|Viet_Nam|NA|NA|Dengue_3|2010-06-15|2010.45205479452"
"GU363549.1","China","Guangzhou","NA","Dengue_3","2009-08-06","2009.59452054795","GU363549.1|China|Guangzhou|NA|Dengue_3|2009-08-06|2009.59452054795"
"GU370052.1","Singapore","NA","NA","Dengue_3","2009-01-15","2009.03835616438","GU370052.1|Singapore|NA|NA|Dengue_3|2009-01-15|2009.03835616438"
"GU370053.1","Singapore","NA","NA","Dengue_3","2007-05-15","2007.36712328767","GU370053.1|Singapore|NA|NA|Dengue_3|2007-05-15|2007.36712328767"
"GU371916.1","India","NA","NA","Dengue_3","2008-06-15","2008.45205479452","GU371916.1|India|NA|NA|Dengue_3|2008-06-15|2008.45205479452"
"GU371924.1","India","NA","NA","Dengue_3","2008-06-15","2008.45205479452","GU371924.1|India|NA|NA|Dengue_3|2008-06-15|2008.45205479452"
"GU371925.1","India","NA","NA","Dengue_3","2008-06-15","2008.45205479452","GU371925.1|India|NA|NA|Dengue_3|2008-06-15|2008.45205479452"
"GU721065.1","China","Zhejiang","NA","Dengue_3","2009-09-15","2009.70410958904","GU721065.1|China|Zhejiang|NA|Dengue_3|2009-09-15|2009.70410958904"
"GU721066.1","China","Zhejiang","NA","Dengue_3","2009-09-15","2009.70410958904","GU721066.1|China|Zhejiang|NA|Dengue_3|2009-09-15|2009.70410958904"
"GU721067.1","China","Zhejiang","NA","Dengue_3","2009-09-15","2009.70410958904","GU721067.1|China|Zhejiang|NA|Dengue_3|2009-09-15|2009.70410958904"
