"traits"	"location"
"KY971732.1|Viet_Nam|NA|NA|Dengue_2|2015-06-15|2015.45205479452"	"North_Vietnam"
"KY849765.1|Laos|Vientiane|NA|Dengue_2|2009-11-06|2009.84657534247"	"Laos"
"KY849764.1|Laos|Vientiane|NA|Dengue_2|2009-09-07|2009.68219178082"	"Laos"
"KY851484.1|Viet_Nam|NA|NA|Dengue_2|2011-06-15|2011.45205479452"	"Southern_Vietnam"
"KY709186.1|Indonesia|Purwokerto|NA|Dengue_2|2015-06-15|2015.45205479452"	"Indonesia"
"KY495806.1|Indonesia|NA|NA|Dengue_2|2016-06-15|2016.45205479452"	"Indonesia"
"KY495819.1|Cambodia|NA|NA|Dengue_2|2015-06-15|2015.45205479452"	"Cambodia"
"KU666944.1|Malaysia|Johor_Bahru|NA|Dengue_2|2014-01-15|2014.03835616438"	"Malaysia"
"KU509276.1|Philippines|NA|NA|Dengue_2|2008-06-15|2008.45205479452"	"Philippines"
"KU509271.1|India|NA|NA|Dengue_2|2006-06-15|2006.45205479452"	"India"
"KT781554.1|Indonesia|NA|NA|Dengue_2|2013-06-15|2013.45205479452"	"Indonesia"
"KT781572.1|Thailand|NA|NA|Dengue_2|2015-06-15|2015.45205479452"	"Thailand"
"KT806319.1|Philippines|NA|NA|Dengue_2|2014-06-15|2014.45205479452"	"Philippines"
"KP769814.1|Viet_Nam|DakNong|NA|Dengue_2|2011-06-15|2011.45205479452"	"Central_Vietnam"
"KP769811.1|Viet_Nam|GiaLai|NA|Dengue_2|2010-06-15|2010.45205479452"	"Central_Vietnam"
"KJ470746.1|China|NA|NA|Dengue_2|2013-09-15|2013.70410958904"	"Yunnan"
"KJ470763.1|Myanmar|NA|NA|Dengue_2|2013-11-15|2013.87123287671"	"Myanmar"
"KJ806773.1|Malaysia|NA|NA|Dengue_2|2005-06-15|2005.45205479452"	"Malaysia"
"KJ806891.1|Malaysia|NA|NA|Dengue_2|2013-06-15|2013.45205479452"	"Malaysia"
"KF060920.1|China|Guangzhou|NA|Dengue_2|2012-06-15|2012.45205479452"	"Guangdong"
"KC131142.1|China|Guangdong|NA|Dengue_2|2012-09-15|2012.70410958904"	"Guangdong"
"KF744398.1|Philippines|NA|NA|Dengue_2|2005-06-15|2005.45205479452"	"Philippines"
"JQ993206.1|Thailand|NA|NA|Dengue_2|2007-06-15|2007.45205479452"	"Thailand"
"KC762672.1|Indonesia|Makassar|NA|Dengue_2|2008-04-09|2008.26849315068"	"Indonesia"
"JQ403522.1|Taiwan|NA|NA|Dengue_2|2008-06-15|2008.45205479452"	"Taiwan"
"JN376785.1|Viet_Nam|Mekong_Delta|NA|Dengue_2|2002-06-15|2002.45205479452"	"Southern_Vietnam"
"JN376788.1|Viet_Nam|Mekong_Delta|NA|Dengue_2|2005-06-15|2005.45205479452"	"Southern_Vietnam"
"JN376789.1|Viet_Nam|Mekong_Delta|NA|Dengue_2|2006-06-15|2006.45205479452"	"Southern_Vietnam"
"JN376794.1|Viet_Nam|Mekong_Delta|NA|Dengue_2|2011-06-15|2011.45205479452"	"Southern_Vietnam"
"JQ277886.1|China|NA|NA|Dengue_2|2005-06-15|2005.45205479452"	"Guangdong"
"JN380843.1|Singapore|NA|NA|Dengue_2|2009-06-15|2009.45205479452"	"Singapore"
"JN568263.1|Philippines|NA|NA|Dengue_2|2003-06-15|2003.45205479452"	"Philippines"
"JN568271.1|Indonesia|NA|NA|Dengue_2|2009-06-15|2009.45205479452"	"Indonesia"
"JF968000.1|Indonesia|NA|NA|Dengue_2|2009-06-15|2009.45205479452"	"Indonesia"
"JF968026.1|Myanmar|NA|NA|Dengue_2|2010-06-15|2010.45205479452"	"Myanmar"
"JF968037.1|Philippines|NA|NA|Dengue_2|2010-06-15|2010.45205479452"	"Philippines"
"JN030202.1|Singapore|NA|NA|Dengue_2|2008-06-15|2008.45205479452"	"Singapore"
"JN196604.1|Singapore|NA|NA|Dengue_2|2010-06-15|2010.45205479452"	"Singapore"
"JF804033.1|India|NA|NA|Dengue_2|2006-06-15|2006.45205479452"	"India"
"JF730044.1|Cambodia|RAT|NA|Dengue_2|2001-06-15|2001.45205479452"	"Cambodia"
"GU211748.1|Viet_Nam|NA|NA|Dengue_2|2006-06-15|2006.45205479452"	"Southern_Vietnam"
"GU211749.1|Viet_Nam|NA|NA|Dengue_2|2006-06-15|2006.45205479452"	"Southern_Vietnam"
"GU211757.1|Viet_Nam|NA|NA|Dengue_2|2006-06-15|2006.45205479452"	"Southern_Vietnam"
"GU211758.1|Viet_Nam|NA|NA|Dengue_2|2006-06-15|2006.45205479452"	"Southern_Vietnam"
"GU211743.1|Viet_Nam|South|NA|Dengue_2|2003-06-15|2003.45205479452"	"Southern_Vietnam"
"GU434155.1|Viet_Nam|South|NA|Dengue_2|2002-06-15|2002.45205479452"	"Southern_Vietnam"
"GU434154.1|Viet_Nam|South|NA|Dengue_2|2001-06-15|2001.45205479452"	"Southern_Vietnam"
"GU434158.1|Viet_Nam|South|NA|Dengue_2|2004-06-15|2004.45205479452"	"Southern_Vietnam"
"GU908494.1|Viet_Nam|south|NA|Dengue_2|2009-08-07|2009.59726027397"	"Southern_Vietnam"
"GU908504.1|Viet_Nam|south|NA|Dengue_2|2008-12-01|2008.91506849315"	"Southern_Vietnam"
"GU908508.1|Viet_Nam|south|NA|Dengue_2|2009-07-15|2009.53424657534"	"Southern_Vietnam"
"GU908507.1|Viet_Nam|south|NA|Dengue_2|2009-04-26|2009.31506849315"	"Southern_Vietnam"
"GU908511.1|Viet_Nam|south|NA|Dengue_2|2009-08-04|2009.58904109589"	"Southern_Vietnam"
"GU434156.1|Viet_Nam|South|NA|Dengue_2|2003-06-15|2003.45205479452"	"Southern_Vietnam"
"GU908510.1|Viet_Nam|south|NA|Dengue_2|2009-07-17|2009.5397260274"	"Southern_Vietnam"
"GU908518.1|Viet_Nam|north|NA|Dengue_2|2008-10-08|2008.76712328767"	"North_Vietnam"
"GU908520.1|Viet_Nam|north|NA|Dengue_2|2008-10-21|2008.80273972603"	"North_Vietnam"
"GU908496.1|Viet_Nam|south|NA|Dengue_2|2009-10-02|2009.75068493151"	"Southern_Vietnam"
"GU908509.1|Viet_Nam|south|NA|Dengue_2|2009-07-16|2009.53698630137"	"Southern_Vietnam"
"GQ868621.1|Cambodia|SRP|NA|Dengue_2|2003-06-15|2003.45205479452"	"Cambodia"
"GU131901.1|Cambodia|SRP|NA|Dengue_2|2008-06-15|2008.45205479452"	"Cambodia"
"GQ357734.1|Singapore|NA|NA|Dengue_2|2007-06-15|2007.45205479452"	"Singapore"
"GQ357776.1|Singapore|NA|NA|Dengue_2|2001-06-15|2001.45205479452"	"Singapore"
"GQ357791.1|Singapore|NA|NA|Dengue_2|2007-06-15|2007.45205479452"	"Singapore"
"FM210204.1|Viet_Nam|South|NA|Dengue_2|2003-06-15|2003.45205479452"	"Southern_Vietnam"
"FM210227.1|Viet_Nam|South|NA|Dengue_2|2002-06-15|2002.45205479452"	"Southern_Vietnam"
"FM210213.1|Viet_Nam|South|NA|Dengue_2|2005-06-15|2005.45205479452"	"Southern_Vietnam"
"FM210207.1|Viet_Nam|South|NA|Dengue_2|2005-06-15|2005.45205479452"	"Southern_Vietnam"
"FM210229.1|Viet_Nam|South|NA|Dengue_2|2003-06-15|2003.45205479452"	"Southern_Vietnam"
"FM210233.2|Viet_Nam|South|NA|Dengue_2|2004-06-15|2004.45205479452"	"Southern_Vietnam"
"FM210238.2|Viet_Nam|South|NA|Dengue_2|2001-06-15|2001.45205479452"	"Southern_Vietnam"
"FM210239.2|Viet_Nam|South|NA|Dengue_2|2004-06-15|2004.45205479452"	"Southern_Vietnam"
"FM210225.1|Viet_Nam|South|NA|Dengue_2|2001-06-15|2001.45205479452"	"Southern_Vietnam"
"FM210226.1|Viet_Nam|South|NA|Dengue_2|2002-06-15|2002.45205479452"	"Southern_Vietnam"
"FM210242.2|Viet_Nam|South|NA|Dengue_2|2004-06-15|2004.45205479452"	"Southern_Vietnam"
"FM210246.2|Viet_Nam|South|NA|Dengue_2|2005-06-15|2005.45205479452"	"Southern_Vietnam"
"FJ639697.1|Cambodia|KCH|NA|Dengue_2|2001-06-15|2001.45205479452"	"Cambodia"
"FJ639708.1|Cambodia|SRP|NA|Dengue_2|2005-06-15|2005.45205479452"	"Cambodia"
"FJ639709.1|Cambodia|TAK|NA|Dengue_2|2005-06-15|2005.45205479452"	"Cambodia"
"FJ807636.1|India|NA|NA|Dengue_2|2005-06-15|2005.45205479452"	"India"
"FJ410193.1|Viet_Nam|South|NA|Dengue_2|2007-06-15|2007.45205479452"	"Southern_Vietnam"
"FJ158608.1|China|NA|NA|Dengue_2|2007-08-15|2007.61917808219"	"Guangdong"
"EU482777.1|Viet_Nam|south|NA|Dengue_2|2005-06-15|2005.45205479452"	"Southern_Vietnam"
"EU482783.1|Viet_Nam|south|NA|Dengue_2|2003-06-15|2003.45205479452"	"Southern_Vietnam"
"EU482788.1|Viet_Nam|south|NA|Dengue_2|2003-06-15|2003.45205479452"	"Southern_Vietnam"
"EU482787.1|Viet_Nam|south|NA|Dengue_2|2003-06-15|2003.45205479452"	"Southern_Vietnam"
"EU482463.1|Viet_Nam|south|NA|Dengue_2|2006-06-15|2006.45205479452"	"Southern_Vietnam"
"EU482670.1|Viet_Nam|south|NA|Dengue_2|2006-06-15|2006.45205479452"	"Southern_Vietnam"
"AB479042.1|Viet_Nam|Ho_Chi_Minh|NA|Dengue_2|2002-06-15|2002.45205479452"	"Southern_Vietnam"
