head_node	tail_node	length	head_country	tail_country	head_date	head_dec_date	tail_date	tail_dec_date
86	95	0.0531785	Myanmar	Myanmar	2004-06-08	2004.4374234684467	2005-02-26	2005.1549680093412
82	86	0.0525067	Laos	Myanmar	2001-06-12	2001.446448493632	2004-06-08	2004.4374234684467
73	82	0.0511624	Laos	Laos	1997-04-04	1997.256638403333	2001-06-12	2001.446448493632
72	73	0.0498182	Vietnam	Laos	1990-09-27	1990.7379822020932	1997-04-04	1997.256638403333
105	106	0.0565552	Vietnam	Vietnam	2002-02-21	2002.1400846266542	2005-06-14	2005.45205479452
107	108	0.0585755	Vietnam	Vietnam	2004-09-14	2004.7056664840088	2009-06-14	2009.45205479452
107	109	0.0606023	Vietnam	Vietnam	2004-09-14	2004.7056664840088	2009-06-14	2009.45205479452
105	107	0.055882	Vietnam	Vietnam	2002-02-21	2002.1400846266542	2004-09-14	2004.7056664840088
104	105	0.0545378	Vietnam	Vietnam	1993-01-08	1993.0206492236819	2002-02-21	2002.1400846266542
110	111	0.0565542	Myanmar	Myanmar	1997-04-09	1997.2703523616221	2007-06-14	2007.45205479452
112	113	0.057905	Thailand	Thailand	1999-07-25	1999.5628997326962	2000-06-13	2000.45205479452
114	115	0.0694079	Myanmar	Myanmar	2006-09-28	2006.7405058270565	2014-09-14	2014.70410958904
114	116	0.0626302	Myanmar	Myanmar	2006-09-28	2006.7405058270565	2011-06-14	2011.45205479452
112	114	0.0612846	Thailand	Myanmar	1999-07-25	1999.5628997326962	2006-09-28	2006.7405058270565
110	112	0.0565594	Myanmar	Thailand	1997-04-09	1997.2703523616221	1999-07-25	1999.5628997326962
104	110	0.0531849	Vietnam	Myanmar	1993-01-08	1993.0206492236819	1997-04-09	1997.2703523616221
103	104	0.0491408	Vietnam	Vietnam	1992-04-01	1992.251508229741	1993-01-08	1993.0206492236819
117	118	0.0606471	Thailand	Thailand	1997-03-05	1997.1739381849993	2012-06-13	2012.45205479452
120	121	0.0552015	Laos	Laos	2007-06-16	2007.4562792070615	2007-08-01	2007.58082191781
120	122	0.0565464	Laos	Laos	2007-06-16	2007.4562792070615	2008-08-16	2008.62739726027
119	120	0.0552015	Thailand	Laos	1999-06-02	1999.4172971582607	2007-06-16	2007.4562792070615
123	124	0.059255	Thailand	Thailand	2004-10-09	2004.7744803825528	2012-06-13	2012.45205479452
125	126	0.0647105	Thailand	Thailand	2005-04-24	2005.3119442995662	2016-11-13	2016.87123287671
125	127	0.0558709	Thailand	Taiwan	2005-04-24	2005.3119442995662	2009-06-14	2009.45205479452
123	125	0.0545258	Thailand	Thailand	2004-10-09	2004.7744803825528	2005-04-24	2005.3119442995662
119	123	0.0538537	Thailand	Thailand	1999-06-02	1999.4172971582607	2004-10-09	2004.7744803825528
129	130	0.0653691	Laos	Laos	2002-03-16	2002.203734731667	2010-06-14	2010.45205479452
131	132	0.0551949	China	China	2003-09-12	2003.6967759625184	2005-06-14	2005.45205479452
131	133	0.0558671	China	Singapore	2003-09-12	2003.6967759625184	2005-06-14	2005.45205479452
129	131	0.0545224	Laos	China	2002-03-16	2002.203734731667	2003-09-12	2003.6967759625184
128	129	0.0545224	Laos	Laos	2000-05-21	2000.386600979215	2002-03-16	2002.203734731667
135	136	0.0619305	Indonesia	Indonesia	2005-06-02	2005.417410136774	2008-04-08	2008.27123287671
135	137	0.0619308	Indonesia	Indonesia	2005-06-02	2005.417410136774	2007-10-02	2007.75342465753
134	135	0.0592384	Indonesia	Indonesia	2002-02-20	2002.1394738042866	2005-06-02	2005.417410136774
138	139	0.0702198	Indonesia	Indonesia	2004-10-25	2004.8166342293082	2013-06-14	2013.45205479452
138	140	0.0572124	Indonesia	Singapore	2004-10-25	2004.8166342293082	2010-06-14	2010.45205479452
141	142	0.0660131	Indonesia	Indonesia	2007-01-02	2007.0050516116323	2016-11-05	2016.84931506849
141	143	0.0592313	Indonesia	Malaysia	2007-01-02	2007.0050516116323	2013-06-14	2013.45205479452
138	141	0.0572123	Indonesia	Indonesia	2004-10-25	2004.8166342293082	2007-01-02	2007.0050516116323
134	138	0.0558676	Indonesia	Indonesia	2002-02-20	2002.1394738042866	2004-10-25	2004.8166342293082
128	134	0.0551956	Laos	Indonesia	2000-05-21	2000.386600979215	2002-02-20	2002.1394738042866
144	145	0.0687886	Malaysia	Malaysia	2004-10-17	2004.7970644357679	2011-06-14	2011.45205479452
144	146	0.057887	Malaysia	Malaysia	2004-10-17	2004.7970644357679	2008-06-13	2008.45205479452
144	147	0.0592369	Malaysia	Malaysia	2004-10-17	2004.7970644357679	2008-06-13	2008.45205479452
148	149	0.059234	Malaysia	Taiwan	2010-05-10	2010.3540981093681	2015-09-18	2015.71506849315
150	151	0.0605795	Malaysia	Malaysia	2011-12-24	2011.9788031533449	2015-06-14	2015.45205479452
152	153	0.0612513	Laos	Laos	2013-06-11	2013.4415120298152	2019-07-22	2019.55616438356
152	154	0.059905	Laos	Laos	2013-06-11	2013.4415120298152	2014-06-14	2014.45205479452
150	152	0.0592331	Malaysia	Laos	2011-12-24	2011.9788031533449	2013-06-11	2013.4415120298152
148	150	0.0585612	Malaysia	Malaysia	2010-05-10	2010.3540981093681	2011-12-24	2011.9788031533449
144	148	0.0578893	Malaysia	Malaysia	2004-10-17	2004.7970644357679	2010-05-10	2010.3540981093681
156	157	0.0659818	Thailand	Singapore	2013-06-02	2013.4172102329496	2019-05-14	2019.36712328767
156	158	0.0659791	Thailand	Thailand	2013-06-02	2013.4172102329496	2020-02-05	2020.09589041096
155	156	0.0626054	Thailand	Thailand	2007-10-15	2007.788694727444	2013-06-02	2013.4172102329496
159	160	0.0680246	Thailand	Laos	2013-01-07	2013.0183758415137	2020-09-20	2020.72054794521
159	161	0.0632838	Thailand	Thailand	2013-01-07	2013.0183758415137	2016-06-13	2016.45205479452
155	159	0.0612602	Thailand	Thailand	2007-10-15	2007.788694727444	2013-01-07	2013.0183758415137
144	155	0.0585616	Malaysia	Thailand	2004-10-17	2004.7970644357679	2007-10-15	2007.788694727444
128	144	0.0558697	Laos	Malaysia	2000-05-21	2000.386600979215	2004-10-17	2004.7970644357679
119	128	0.053178	Thailand	Laos	1999-06-02	1999.4172971582607	2000-05-21	2000.386600979215
117	119	0.0518336	Thailand	Thailand	1997-03-05	1997.1739381849993	1999-06-02	1999.4172971582607
103	117	0.0511619	Vietnam	Thailand	1992-04-01	1992.251508229741	1997-03-05	1997.1739381849993
72	103	0.0484688	Vietnam	Vietnam	1990-09-27	1990.7379822020932	1992-04-01	1992.251508229741
163	164	0.0565764	Vietnam	Vietnam	1998-07-05	1998.5078378853405	2002-06-14	2002.45205479452
165	166	0.0613022	Vietnam	Vietnam	2003-02-19	2003.1342668383309	2009-06-14	2009.45205479452
165	167	0.0579249	Vietnam	Vietnam	2003-02-19	2003.1342668383309	2004-06-13	2004.45205479452
168	169	0.0619707	Vietnam	Taiwan	2004-09-25	2004.7347993727712	2008-06-13	2008.45205479452
168	170	0.0592756	Vietnam	Vietnam	2004-09-25	2004.7347993727712	2005-06-14	2005.45205479452
171	172	0.0619692	Vietnam	Vietnam	2005-06-02	2005.4176941834319	2008-09-24	2008.73150684932
171	173	0.0646769	Vietnam	Vietnam	2005-06-02	2005.4176941834319	2007-06-14	2007.45205479452
168	171	0.0599482	Vietnam	Vietnam	2004-09-25	2004.7347993727712	2005-06-02	2005.4176941834319
165	168	0.0592756	Vietnam	Vietnam	2003-02-19	2003.1342668383309	2004-09-25	2004.7347993727712
163	165	0.0572524	Vietnam	Vietnam	1998-07-05	1998.5078378853405	2003-02-19	2003.1342668383309
162	163	0.0538821	Vietnam	Vietnam	1991-01-20	1991.0539595384012	1998-07-05	1998.5078378853405
175	176	0.0572527	Vietnam	Cambodia	2000-05-07	2000.349882540171	2008-06-13	2008.45205479452
175	177	0.0525042	Vietnam	Thailand	2000-05-07	2000.349882540171	2006-06-14	2006.45205479452
174	175	0.0511593	Vietnam	Vietnam	1993-02-15	1993.1235489297715	2000-05-07	2000.349882540171
178	179	0.0593002	Vietnam	Vietnam	1999-07-10	1999.5220736133178	2004-06-13	2004.45205479452
180	181	0.0646886	Vietnam	Vietnam	2002-03-06	2002.1757930424442	2004-06-13	2004.45205479452
180	182	0.0653616	Vietnam	Vietnam	2002-03-06	2002.1757930424442	2005-06-14	2005.45205479452
180	183	0.0694213	Vietnam	China	2002-03-06	2002.1757930424442	2008-06-13	2008.45205479452
180	184	0.0646888	Vietnam	Vietnam	2002-03-06	2002.1757930424442	2003-06-14	2003.45205479452
180	185	0.0640167	Vietnam	Vietnam	2002-03-06	2002.1757930424442	2002-06-14	2002.45205479452
186	187	0.0687313	Vietnam	Vietnam	2002-09-28	2002.7409176826507	2007-06-14	2007.45205479452
186	188	0.0660322	Vietnam	Vietnam	2002-09-28	2002.7409176826507	2005-06-14	2005.45205479452
180	186	0.0640167	Vietnam	Vietnam	2002-03-06	2002.1757930424442	2002-09-28	2002.7409176826507
189	190	0.0646887	Vietnam	Vietnam	2002-04-20	2002.2998713772529	2006-06-14	2006.45205479452
191	192	0.0633455	Vietnam	Vietnam	2003-02-19	2003.1355148247796	2005-06-14	2005.45205479452
193	194	0.0633455	Vietnam	Vietnam	2003-06-14	2003.45205479452	2003-06-14	2003.45205479452
193	195	0.0633455	Vietnam	Vietnam	2003-06-14	2003.45205479452	2003-06-14	2003.45205479452
191	193	0.0633455	Vietnam	Vietnam	2003-02-19	2003.1355148247796	2003-06-14	2003.45205479452
189	191	0.0633455	Vietnam	Vietnam	2002-04-20	2002.2998713772529	2003-02-19	2003.1355148247796
180	189	0.0633455	Vietnam	Vietnam	2002-03-06	2002.1757930424442	2002-04-20	2002.2998713772529
178	180	0.0633455	Vietnam	Vietnam	1999-07-10	1999.5220736133178	2002-03-06	2002.1757930424442
174	178	0.0586288	Vietnam	Vietnam	1993-02-15	1993.1235489297715	1999-07-10	1999.5220736133178
162	174	0.0491408	Vietnam	Vietnam	1991-01-20	1991.0539595384012	1993-02-15	1993.1235489297715
197	198	0.0585788	Cambodia	Cambodia	2002-04-08	2002.2681382434964	2005-06-14	2005.45205479452
200	201	0.0592469	Vietnam	Vietnam	2009-03-11	2009.1917755084419	2010-06-14	2010.45205479452
200	202	0.0579007	Vietnam	Vietnam	2009-03-11	2009.1917755084419	2009-06-14	2009.45205479452
199	200	0.0579007	Cambodia	Vietnam	2004-11-03	2004.8414305002304	2009-03-11	2009.1917755084419
203	204	0.0599188	Cambodia	Cambodia	2007-01-27	2007.073121408859	2009-06-14	2009.45205479452
205	206	0.0639673	Cambodia	Cambodia	2009-05-24	2009.3937936484067	2016-02-09	2016.10684931507
205	207	0.0619399	Cambodia	Cambodia	2009-05-24	2009.3937936484067	2015-06-18	2015.46301369863
203	205	0.0592446	Cambodia	Cambodia	2007-01-27	2007.073121408859	2009-05-24	2009.3937936484067
199	203	0.0578994	Cambodia	Cambodia	2004-11-03	2004.8414305002304	2007-01-27	2007.073121408859
197	199	0.0565542	Cambodia	Cambodia	2002-04-08	2002.2681382434964	2004-11-03	2004.8414305002304
196	197	0.0552089	Vietnam	Cambodia	1995-10-15	1995.7867842259031	2002-04-08	2002.2681382434964
208	209	0.0579192	Vietnam	China	1998-07-14	1998.5321201011016	2006-06-14	2006.45205479452
210	211	0.0592602	Vietnam	Vietnam	2002-02-15	2002.1253448132882	2011-11-09	2011.85479452055
213	214	0.0626288	Vietnam	Vietnam	2003-10-03	2003.75406622907	2011-12-22	2011.97534246575
215	216	0.058562	Vietnam	Vietnam	2004-10-20	2004.8044383625686	2009-06-14	2009.45205479452
217	218	0.0585619	Vietnam	Vietnam	2006-06-14	2006.45205479452	2006-06-14	2006.45205479452
217	219	0.0585619	Vietnam	Vietnam	2006-06-14	2006.45205479452	2006-06-14	2006.45205479452
215	217	0.0585619	Vietnam	Vietnam	2004-10-20	2004.8044383625686	2006-06-14	2006.45205479452
213	215	0.0565436	Vietnam	Vietnam	2003-10-03	2003.75406622907	2004-10-20	2004.8044383625686
212	213	0.0558717	Vietnam	Vietnam	2002-09-18	2002.7136663486733	2003-10-03	2003.75406622907
220	221	0.0592392	Vietnam	Vietnam	2004-06-15	2004.4552358487256	2009-01-10	2009.02739726027
222	223	0.0558716	Vietnam	Vietnam	2007-06-14	2007.45205479452	2007-06-14	2007.45205479452
222	224	0.0558716	Vietnam	Vietnam	2007-06-14	2007.45205479452	2007-06-14	2007.45205479452
220	222	0.0558716	Vietnam	Vietnam	2004-06-15	2004.4552358487256	2007-06-14	2007.45205479452
225	226	0.0632988	Vietnam	Thailand	2004-10-20	2004.8030156270727	2013-06-14	2013.45205479452
229	230	0.0632765	Vietnam	Vietnam	2011-12-05	2011.9262777560755	2012-08-05	2012.59726027397
229	231	0.0680012	Vietnam	Vietnam	2011-12-05	2011.9262777560755	2019-06-12	2019.44383561644
228	229	0.062605	Vietnam	Vietnam	2010-06-10	2010.4385155544894	2011-12-05	2011.9262777560755
232	233	0.065968	Vietnam	Vietnam	2016-11-26	2016.9055725238416	2020-09-13	2020.70410958904
234	235	0.0652958	Vietnam	Vietnam	2018-09-27	2018.7381258600078	2019-11-14	2019.87123287671
234	236	0.0666388	Vietnam	Vietnam	2018-09-27	2018.7381258600078	2020-09-13	2020.70410958904
232	234	0.0652958	Vietnam	Vietnam	2016-11-26	2016.9055725238416	2018-09-27	2018.7381258600078
228	232	0.0646243	Vietnam	Vietnam	2010-06-10	2010.4385155544894	2016-11-26	2016.9055725238416
227	228	0.0619335	Vietnam	Vietnam	2005-06-20	2005.4675488071252	2010-06-10	2010.4385155544894
237	238	0.0605782	Vietnam	Vietnam	2006-11-28	2006.9088809597677	2011-06-09	2011.43561643836
239	240	0.061924	Vietnam	Vietnam	2009-05-15	2009.3689855761988	2012-09-11	2012.69589041096
241	242	0.0639388	Vietnam	Vietnam	2013-02-20	2013.1372625731017	2017-06-28	2017.48767123288
241	243	0.0659616	Vietnam	Vietnam	2013-02-20	2013.1372625731017	2015-08-09	2015.60547945205
239	241	0.0625947	Vietnam	Vietnam	2009-05-15	2009.3689855761988	2013-02-20	2013.1372625731017
237	239	0.0599038	Vietnam	Vietnam	2006-11-28	2006.9088809597677	2009-05-15	2009.3689855761988
244	245	0.0578871	Vietnam	Vietnam	2008-05-18	2008.3806665907543	2008-06-13	2008.45205479452
246	247	0.0599021	Vietnam	Vietnam	2010-05-05	2010.341578620714	2013-07-21	2013.55342465753
246	248	0.0625975	Vietnam	Vietnam	2010-05-05	2010.341578620714	2013-12-04	2013.92602739726
246	249	0.0639469	Vietnam	Cambodia	2010-05-05	2010.341578620714	2016-08-20	2016.63835616438
244	246	0.059231	Vietnam	Vietnam	2008-05-18	2008.3806665907543	2010-05-05	2010.341578620714
237	244	0.0578871	Vietnam	Vietnam	2006-11-28	2006.9088809597677	2008-05-18	2008.3806665907543
227	237	0.0578871	Vietnam	Vietnam	2005-06-20	2005.4675488071252	2006-11-28	2006.9088809597677
250	251	0.0632786	Vietnam	Vietnam	2006-10-12	2006.7800305335566	2011-05-24	2011.39178082192
250	252	0.0606631	Vietnam	Vietnam	2006-10-12	2006.7800305335566	2013-10-10	2013.77534246575
250	253	0.0625984	Vietnam	Taiwan	2006-10-12	2006.7800305335566	2013-11-10	2013.8602739726
250	254	0.0646322	Vietnam	Vietnam	2006-10-12	2006.7800305335566	2010-06-14	2010.45205479452
250	255	0.0626008	Vietnam	Vietnam	2006-10-12	2006.7800305335566	2011-07-29	2011.57260273973
256	257	0.0632691	Vietnam	Vietnam	2008-06-13	2008.4504506367605	2013-01-07	2013.01917808219
258	259	0.0639395	Vietnam	Vietnam	2009-06-05	2009.4254324328685	2015-01-28	2015.07397260274
258	260	0.0625928	Vietnam	Vietnam	2009-06-05	2009.4254324328685	2012-07-09	2012.52328767123
261	262	0.0652876	Vietnam	Vietnam	2011-05-15	2011.3674093501825	2015-11-26	2015.90410958904
263	264	0.0632628	Vietnam	Vietnam	2013-06-16	2013.457448418251	2014-10-01	2014.74794520548
263	265	0.0625913	Vietnam	Vietnam	2013-06-16	2013.457448418251	2014-10-07	2014.76712328767
261	263	0.0625913	Vietnam	Vietnam	2011-05-15	2011.3674093501825	2013-06-16	2013.457448418251
258	261	0.0619197	Vietnam	Vietnam	2009-06-05	2009.4254324328685	2011-05-15	2011.3674093501825
266	267	0.0632634	Vietnam	Vietnam	2010-06-17	2010.4584864890646	2013-10-06	2013.76438356164
266	268	0.0646105	Vietnam	Vietnam	2010-06-17	2010.4584864890646	2014-07-17	2014.54246575342
269	270	0.0652822	Vietnam	Vietnam	2011-06-19	2011.464237299948	2014-11-24	2014.89589041096
271	272	0.0646084	Vietnam	Vietnam	2012-02-27	2012.1570602675743	2015-11-10	2015.8602739726
273	274	0.0625911	Vietnam	Vietnam	2013-06-12	2013.4457455437473	2014-09-12	2014.69589041096
273	275	0.0659575	Vietnam	Vietnam	2013-06-12	2013.4457455437473	2019-04-24	2019.31232876712
271	273	0.0625911	Vietnam	Vietnam	2012-02-27	2012.1570602675743	2013-06-12	2013.4457455437473
269	271	0.0625911	Vietnam	Vietnam	2011-06-19	2011.464237299948	2012-02-27	2012.1570602675743
276	277	0.0639349	Vietnam	Vietnam	2013-01-12	2013.030277312089	2013-12-02	2013.91780821918
278	279	0.0679721	Vietnam	Vietnam	2014-09-09	2014.6903458142292	2017-04-24	2017.3095890411
278	280	0.0672994	Vietnam	Vietnam	2014-09-09	2014.6903458142292	2015-07-21	2015.55068493151
278	281	0.0693205	Vietnam	Vietnam	2014-09-09	2014.6903458142292	2017-05-29	2017.40821917808
276	278	0.0666274	Vietnam	Vietnam	2013-01-12	2013.030277312089	2014-09-09	2014.6903458142292
269	276	0.0639349	Vietnam	Vietnam	2011-06-19	2011.464237299948	2013-01-12	2013.030277312089
282	283	0.0673068	Vietnam	Vietnam	2016-11-01	2016.8368700114493	2018-11-18	2018.88219178082
282	284	0.0673069	Vietnam	Vietnam	2016-11-01	2016.8368700114493	2018-09-27	2018.73698630137
285	286	0.0666356	Vietnam	Vietnam	2017-11-08	2017.8529463190955	2018-11-06	2018.84931506849
287	288	0.0666356	Vietnam	Vietnam	2018-08-10	2018.6055842267353	2018-11-09	2018.85479452055
289	290	0.0666356	Vietnam	Vietnam	2018-08-13	2018.6139031705445	2018-12-18	2018.96438356164
